【神代類 - 4星】

角色: 神代類
分类: 4星
数量: 28

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
720 | 2023-09-20 | 夕暮れの語らい | 4 | cool | 内緒の思い出作り | Let's study hard！ | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no028/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no028/card_after_training.png
792 | 2023-11-22 | くすぐられる好奇心 | 4 | mysterious | プロの情熱 | 君が主役の物語を | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no030/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no030/card_after_training.png
854 | 2024-01-23 | 漏れ聞こえる言葉 | 4 | happy | 名誉のエンドロール | 逆光のレンズフレア | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no032/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no032/card_after_training.png
887 | 2024-03-08 | お返しの挨拶 | 4 | cute | 新しいセカイ探検隊！ | 星を目指して、ヨーソロー！ | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no033/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no033/card_after_training.png
957 | 2024-07-09 | クールな悪役？ | 4 | pure | 小道具班で大活躍！ | お縄を頂戴！？天馬捕物帳 | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no037/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no037/card_after_training.png
1003 | 2024-09-30 | 宝物を見つめて | 4 | cute | あの日々があったから | 想いをのせて！Dream Stage | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no038/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no038/card_after_training.png
1050 | 2024-12-21 | サンタさんに会うぞ！大作戦 | 4 | pure | その笑顔のために | Special present for YOU！ | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no040/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no040/card_after_training.png
1172 | 2025-05-09 | 夢への一歩 | 4 | cute | 止まらないアイディア | Dear my fellows | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no045/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no045/card_after_training.png
1196 | 2025-07-07 | 憧れまでの距離 | 4 | happy | 仲間への感謝を胸に | Deeper and deeper | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no047/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no047/card_after_training.png
1231 | 2025-08-30 | 想いを込めた小道具作り | 4 | cool | 夢に繋がる一歩 | Deep Dark For Light | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no048/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no048/card_after_training.png
1340 | 2026-02-19 | 宇宙でドタバタシューティング！ | 4 | mysterious | 笑顔溢れる実験タイム | CHANGE！えむは王女さま！？ | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no052/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no052/card_after_training.png
1363 | 2026-03-30 | 思い描いたその画が | 4 | cool | お部屋掃除の救世主？ | 残照のInside Direction | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no053/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no053/card_after_training.png
1412 | 2026-06-20 | 憂いの先 | 4 | pure | 次に繋がるもの | Phantom maze monster | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no055/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no055/card_after_training.png
1431 | 2026-07-19 | 心の濁り | 4 | cute | セカイに関する分析と考察 | 君の隣、君と見る明日 | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no056/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res016_no056/card_after_training.png
