【神代类 - 4星】

角色: 神代类
分类: 4星
数量: 24

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
572 | 2024-01-01 | 绝对不能输啊 | 4 | mysterious | 最可靠的伙伴 | 梦想的旅途，奔向闪耀的群星 | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no021/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no021/card_after_training.png
601 | 2024-01-01 | 突如其来的试炼 | 4 | mysterious | 在礼物中寄托心意 | Never Give Up Cooking！ | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no022/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no022/card_after_training.png
649 | 2024-01-01 | 随时都能找我商量哦 | 4 | pure | 与其后悔，不如付诸实践 | 金丝雀于绝境中高歌 | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no024/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no024/card_after_training.png
672 | 2024-01-01 | 为内心，拍一张 | 4 | happy | 为了获得回忆 | 一期一会的百鬼夜行？！ | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no026/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no026/card_after_training.png
720 | 2024-01-01 | 夕阳下的对话 | 4 | cool | 秘密创造回忆 | Let's study hard！ | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no028/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no028/card_after_training.png
792 | 2024-01-01 | 被勾起的好奇心 | 4 | mysterious | 专业人士的热情 | 以你为主角的故事 | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no030/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no030/card_after_training.png
854 | 2024-01-01 | 无意间听到的只言片语 | 4 | happy | 荣耀的演职员表 | 背光的镜头光晕 | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no032/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no032/card_after_training.png
887 | 2025-04-18 | 回礼的招呼 | 4 | cute | 全新的「世界」探险队！ | 向着星星，启航！ | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no033/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no033/card_after_training.png
957 | 2025-07-13 | 帅气的反派？ | 4 | pure | 在小道具组大显身手！ | 捉拿归案？！天马捕物帐 | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no037/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no037/card_after_training.png
1003 | 2025-09-27 | 注视宝物 | 4 | cute | 因为这些过去 | 承载心愿！Dream Stage | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no038/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no038/card_after_training.png
1050 | 2025-12-21 | 一定要见到圣诞老人！大作战 | 4 | pure | 为了那份笑容 | Special present for YOU！ | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no040/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no040/card_after_training.png
1172 | 2026-05-09 | 向梦想迈出的一步 | 4 | cute | 想不完的点子 | Dear my fellows | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no045/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no045/card_after_training.png
1196 | 2026-07-04 | 与憧憬之人的距离 | 4 | happy | 心怀对伙伴的感谢 | Deeper and deeper | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no047/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no047/card_after_training.png
1231 | 2026-08-30 | 寄托心意的小道具制作 | 4 | cool | 关于梦想的一步 | Deep Dark For Light | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no048/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no048/card_after_training.png
