【朝比奈まふゆ - 旧制服】

角色: 朝比奈まふゆ
分类: 旧制服
数量: 21

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
311 | 2021-10-31 | 導きの杖 | 2 | cool | 前に進むこと | ボクのあしあと キミのゆくさき | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no013/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no013/card_after_training.png
362 | 2022-01-21 | 絶望の底のエルピス | 4 | pure | 守ってほしい約束 | いつか、絶望の底から | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no015/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no015/card_after_training.png
400 | 2022-03-20 | 想起される色彩 | 3 | pure | 誰も正解を持っていないから | 空白のキャンバスに描く私は | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no017/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no017/card_after_training.png
445 | 2022-06-10 | 茜さすぬくもりの中で | 4 | cool | まぶしい光景 | 迷い子の手を引く、そのさきは | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no018/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no018/card_after_training.png
488 | 2022-08-20 | 遠いぬくもり | 4 | cute | 『姉』という存在 | そしていま、リボンを結んで | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no019/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no019/card_after_training.png
542 | 2022-11-20 | 何かが違う食卓 | 4 | mysterious | あと少し、こうしていたくて…… | 願いは、いつか朝をこえて | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no021/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no021/card_after_training.png
557 | 2022-12-21 | 君だけが知る静寂 | 4 | cute | 静かに育まれるもの | 弓引け、白の世界で | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no022/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no022/card_after_training.png
616 | 2023-03-21 | 止められない想い | 2 | mysterious | 脳裏をよぎる場所は…… | イミシブル・ディスコード | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no024/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no024/card_after_training.png
675 | 2023-06-30 | 憩いの時間 | 3 | cool | 離れていても、想いはそばに | 一期一会な百鬼夜行！？ | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no026/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no026/card_after_training.png
677 | 2023-07-11 | 本当の想いを | 4 | mysterious | 決意の帰路 | 仮面の私にさよならを | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no027/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no027/card_after_training.png
741 | 2023-09-29 | Brand New Style | 2 | cool | つかの間のお昼 |  | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no028/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res018_no028/card_after_training.png
