【青柳冬弥 - 新队服】

角色: 青柳冬弥
分类: 新队服
数量: 29

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
696 | 2024-01-01 | 久违的探望 | 4 | pure | 告一段落的一杯 | On Your Feet | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no026/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no026/card_after_training.png
735 | 2025-02-28 | Brand New Style | 2 | mysterious | 新诞生的事物 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no027/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no027/card_after_training.png
771 | 2024-01-01 | 短暂的休息 | 3 | cool | 被点燃火种的去处 | BURN MY SOUL | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no028/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no028/card_after_training.png
800 | 2024-01-01 | 前往服装组！ | 2 | cool | 挑战做裁缝！ | 最棒的杀青！ | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no029/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no029/card_after_training.png
864 | 2024-01-01 | 挑战当模特！ | 3 | cute | 友情巧克力与人情巧克力 | Take the Best Shot！ | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no032/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no032/card_after_training.png
890 | 2025-04-04 | 解开枷锁 | 4 | happy | 即便走在不同的道路上 | The first concerto | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no033/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no033/card_after_training.png
955 | 2025-07-05 | 再多感受一下这个气氛 | 2 | happy | 交流分享作曲的心得 | OVER RAD SQUAD!! | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no036/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no036/card_after_training.png
973 | 2025-08-06 | 伴随心中的憧憬 | 4 | mysterious | 出乎意料的笑容 | 奏响美妙乐音！ | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no037/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no037/card_after_training.png
1020 | 2025-10-21 | 即使看不见，但它依然存在 | 2 | cute | 在堆积如山的参考书前 | Rekindle the flame | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no039/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no039/card_after_training.png
1062 | 2025-12-31 | 新的挑战 | 3 | pure | 磨练内心 | Unfading wishing | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no040/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no040/card_after_training.png
1065 | 2026-01-11 | 在异国的街角 | 4 | happy | 意想不到的家庭往事 | Time to take off！ | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no041/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no041/card_after_training.png
